PC4;OAD;STED
1865;159;5
1871;430;5
1873;365;5
1901;1648;2
1902;1733;2
1906;786;4
1911;1093;3
1921;515;4
1931;1198;3
1934;473;5
1935;403;5
1941;2855;1
1942;2791;1
1943;2659;1
1944;3197;1
1945;3518;1
1946;3139;1
1947;3142;1
1948;1533;2
1949;453;5
1951;1008;3
1961;2834;1
1962;2352;2
1963;1589;2
1964;2499;2
1965;3071;1
1966;3017;1
1967;1482;3
1968;323;5
1969;1117;3
1971;2259;2
1972;2886;1
1973;2825;1
1974;1684;2
1975;1942;2
1976;1093;3
1981;677;4
1985;840;4
1991;1952;2
1992;1365;3
2011;5460;1
2012;3842;1
2013;4548;1
2014;2689;1
2015;2052;2
2019;5534;1
2021;3845;1
2022;3403;1
2023;3741;1
2024;3137;1
2025;2651;1
2026;2338;2
2031;2242;2
2032;4041;1
2033;3026;1
2034;3416;1
2035;2920;1
2036;2946;1
2037;3301;1
2041;1796;2
2042;2000;2
2051;1671;2
2061;1271;3
2063;426;5
2064;413;5
2065;114;5
2071;1632;2
2082;1303;3
2101;2353;2
2102;2119;2
2103;1429;3
2104;728;4
2105;1307;3
2106;1802;2
2111;868;4
2114;426;5
2116;313;5
2121;803;4
2131;2138;2
2132;1909;2
2133;2290;2
2134;1768;2
2135;2067;2
2136;495;5
2141;630;4
2142;461;5
2143;67;5
2144;1092;3
2151;1731;2
2152;1511;2
2153;1012;3
2154;53;5
2155;285;5
2156;411;5
2157;108;5
2158;140;5
2159;140;5
2161;1739;2
2162;1408;3
2163;1569;2
2165;1186;3
2171;1636;2
2172;1692;2
2181;1701;2
2182;1424;3
2191;291;5
2201;1731;2
2202;1551;2
2203;1786;2
2204;258;5
2211;1204;3
2212;203;5
2215;1380;3
2216;1018;3
2221;2370;2
2222;1531;2
2223;1944;2
2224;2596;1
2225;2329;2
2231;1996;2
2232;1356;3
2235;1159;3
2241;1871;2
2242;1694;2
2243;359;5
2244;482;5
2245;449;5
2251;1726;2
2252;1667;2
2253;2204;2
2254;1225;3
2261;2169;2
2262;2848;1
2263;2433;2
2264;2880;1
2265;2436;2
2266;1326;3
2267;1251;3
2271;2314;2
2272;2757;1
2273;4057;1
2274;3861;1
2275;2452;2
2281;3964;1
2282;3968;1
2283;2980;1
2284;3493;1
2285;3161;1
2286;2613;1
2287;2953;1
2288;2039;2
2289;1465;3
2291;2237;2
2292;2077;2
2295;580;4
2311;5296;1
2312;5446;1
2313;3983;1
2314;2692;1
2315;4446;1
2316;4492;1
2317;2525;1
2318;2031;2
2321;3640;1
2322;551;4
2323;1227;3
2324;3273;1
2331;2146;2
2332;2930;1
2333;2126;2
2334;2025;2
2341;1835;2
2342;1110;3
2343;1802;2
2351;1586;2
2352;3181;1
2353;2183;2
2355;202;5
2361;744;4
2362;70;5
2371;915;4
2374;178;5
2375;216;5
2376;355;5
2377;808;4
2381;537;4
2382;1093;3
2391;478;5
2394;827;4
2396;809;4
2401;1939;2
2402;3038;1
2403;2186;2
2404;2023;2
2405;2807;1
2406;2527;1
2407;236;5
2408;1973;2
2409;101;5
2411;1556;2
2412;905;4
2415;193;5
2421;780;4
2431;195;5
2432;68;5
2435;214;5
2441;380;5
2445;102;5
2451;542;4
2461;448;5
2465;163;5
2471;218;5
2481;469;5
2491;1261;3
2492;1464;3
2493;1457;3
2495;1284;3
2496;1756;2
2497;1679;2
2498;1085;3
2511;6613;1
2512;8412;1
2513;7712;1
2514;4917;1
2515;7104;1
2516;5153;1
2517;5901;1
2518;6896;1
2521;6954;1
2522;6311;1
2523;5553;1
2524;4617;1
2525;7367;1
2526;8214;1
2531;4533;1
2532;3917;1
2533;4247;1
2541;4139;1
2542;3237;1
2543;3601;1
2544;3357;1
2545;4510;1
2546;5460;1
2547;5973;1
2548;2537;1
2551;4493;1
2552;4173;1
2553;2386;2
2554;1595;2
2555;3751;1
2561;7955;1
2562;8592;1
2563;7619;1
2564;5212;1
2565;5402;1
2566;3169;1
2571;8363;1
2572;7492;1
2573;7430;1
2574;7321;1
2581;3902;1
2582;4195;1
2583;3103;1
2584;4249;1
2585;3271;1
2586;3681;1
2587;2742;1
2591;2896;1
2592;3244;1
2593;4021;1
2594;3123;1
2595;4431;1
2596;2557;1
2597;1554;2
2611;4548;1
2612;2716;1
2613;4519;1
2614;3107;1
2616;1458;3
2622;2237;2
2623;2138;2
2624;4339;1
2625;3589;1
2626;1247;3
2627;3640;1
2628;2747;1
2629;840;4
2631;1759;2
2632;1942;2
2635;2332;2
2636;448;5
2641;1322;3
2642;1524;2
2643;1425;3
2645;1220;3
2651;1278;3
2652;1409;3
2661;1423;3
2662;1502;2
2665;979;4
2671;1897;2
2672;1536;2
2673;1475;3
2675;769;4
2676;498;5
2678;1014;3
2681;1333;3
2684;1357;3
2685;822;4
2691;1461;3
2692;1607;2
2693;1292;3
2694;1599;2
2711;3682;1
2712;2653;1
2713;3397;1
2715;3526;1
2716;2628;1
2717;2403;2
2718;1708;2
2719;1643;2
2721;1693;2
2722;2908;1
2723;2542;1
2724;3226;1
2725;2124;2
2726;2919;1
2727;2753;1
2728;1869;2
2729;2145;2
2731;801;4
2735;91;5
2741;1584;2
2742;1693;2
2743;1251;3
2751;514;4
2752;230;5
2761;696;4
2771;874;4
2801;3541;1
2802;2350;2
2803;2242;2
2804;2152;2
2805;2838;1
2806;3104;1
2807;1541;2
2808;1673;2
2809;839;4
2811;825;4
2821;426;5
2825;125;5
2831;972;4
2841;1060;3
2851;491;5
2855;56;5
2861;639;4
2865;428;5
2871;1191;3
2872;540;4
2901;1932;2
2902;2517;1
2903;2790;1
2904;2330;2
2905;2276;2
2906;2308;2
2907;2169;2
2908;1961;2
2909;1325;3
2911;1266;3
2912;1777;2
2913;651;4
2914;1644;2
2921;1440;3
2922;2410;2
2923;2073;2
2924;1920;2
2925;1681;2
2926;1520;2
2931;873;4
2935;479;5
2941;954;4
2951;1813;2
2952;819;4
2953;1198;3
2954;1637;2
2957;824;4
2959;240;5
2961;604;4
2964;479;5
2965;407;5
2967;306;5
2968;50;5
2969;231;5
2971;287;5
2973;193;5
2974;158;5
2975;70;5
2977;85;5
2981;2301;2
2982;1852;2
2983;1471;3
2984;1625;2
2985;2069;2
2986;1803;2
2987;1967;2
2988;366;5
2989;889;4
2991;1553;2
2992;1808;2
2993;1707;2
2994;1503;2
2995;525;4
3011;6320;1
3012;6219;1
3013;6952;1
3014;6430;1
3015;5681;1
3016;3427;1
3021;6811;1
3022;5978;1
3023;7302;1
3024;4385;1
3025;5354;1
3026;6235;1
3027;4667;1
3028;3561;1
3029;3168;1
3031;7752;1
3032;8136;1
3033;7165;1
3034;5994;1
3035;8063;1
3036;6409;1
3037;6609;1
3038;5865;1
3039;5144;1
3041;2078;2
3042;1908;2
3043;1769;2
3044;1474;3
3045;881;4
3046;56;5
3047;505;4
3051;3145;1
3052;2759;1
3053;2410;2
3054;2087;2
3055;1703;2
3056;875;4
3059;1135;3
3061;5693;1
3062;3131;1
3063;3520;1
3064;1450;3
3065;1979;2
3066;2926;1
3067;3291;1
3068;2868;1
3069;2617;1
3071;4370;1
3072;4430;1
3073;6245;1
3074;4732;1
3075;3964;1
3076;2586;1
3077;2207;2
3078;2649;1
3079;2742;1
3081;5756;1
3082;3668;1
3083;5154;1
3084;2274;2
3085;2651;1
3086;2611;1
3087;2269;2
3088;357;5
3089;279;5
3111;5015;1
3112;4369;1
3113;3567;1
3114;2070;2
3115;979;4
3116;3283;1
3117;3720;1
3118;3268;1
3119;3575;1
3121;2379;2
3122;3027;1
3123;2599;1
3124;1824;2
3125;1118;3
3131;3459;1
3132;2061;2
3133;1903;2
3134;3153;1
3135;2576;1
3136;3124;1
3137;2455;2
3138;1138;3
3141;2004;2
3142;2407;2
3143;2211;2
3144;2187;2
3145;1786;2
3146;1190;3
3147;1673;2
3151;1009;3
3155;751;4
3161;919;4
3162;1101;3
3165;155;5
3171;1185;3
3172;651;4
3176;972;4
3181;1203;3
3191;2412;2
3192;2145;2
3193;1559;2
3194;1752;2
3195;727;4
3196;195;5
3197;104;5
3198;19;5
3199;7;5
3201;2714;1
3202;1692;2
3203;3130;1
3204;3238;1
3205;2483;2
3206;2384;2
3207;1663;2
3208;1740;2
3209;964;4
3211;298;5
3212;177;5
3214;719;4
3216;150;5
3218;417;5
3221;1284;3
3222;1209;3
3223;1484;3
3224;1911;2
3225;1765;2
3227;149;5
3231;1040;3
3232;1051;3
3233;705;4
3234;107;5
3235;536;4
3237;241;5
3238;249;5
3241;1106;3
3243;181;5
3244;256;5
3245;1265;3
3247;640;4
3248;302;5
3249;265;5
3251;526;4
3252;280;5
3253;468;5
3255;653;4
3256;108;5
3257;372;5
3258;183;5
3261;1217;3
3262;1670;2
3263;1237;3
3264;461;5
3265;211;5
3267;186;5
3271;417;5
3273;344;5
3274;287;5
3281;769;4
3284;337;5
3286;424;5
3291;683;4
3292;60;5
3293;73;5
3295;971;4
3297;848;4
3299;361;5
3311;3689;1
3312;2675;1
3313;1320;3
3314;3319;1
3315;1848;2
3316;445;5
3317;2821;1
3318;2466;2
3319;1620;2
3328;2054;2
3329;909;4
3331;2678;1
3332;2689;1
3333;1950;2
3334;1596;2
3335;1343;3
3336;1205;3
3341;1531;2
3342;1434;3
3343;1942;2
3344;2239;2
3351;2134;2
3352;1551;2
3353;2427;2
3354;2188;2
3355;1857;2
3356;928;4
3361;1685;2
3362;1960;2
3363;1184;3
3364;1008;3
3366;64;5
3370;-99997;-99997
3371;1150;3
3372;541;4
3373;759;4
3381;310;5
3382;-99997;-99997
3401;2023;2
3402;1948;2
3403;1105;3
3404;1662;2
3405;283;5
3411;489;5
3412;101;5
3413;79;5
3415;74;5
3417;843;4
3421;966;4
3425;497;5
3431;2737;1
3432;1783;2
3433;1397;3
3434;1495;3
3435;1881;2
3436;2428;2
3437;1979;2
3438;1820;2
3439;658;4
3441;2096;2
3442;2295;2
3443;1868;2
3444;687;4
3445;1356;3
3446;1187;3
3447;930;4
3448;1502;2
3449;1803;2
3451;1286;3
3452;1666;2
3453;1511;2
3454;1526;2
3455;95;5
3461;471;5
3464;41;5
3465;191;5
3466;175;5
3467;114;5
3471;304;5
3474;186;5
3481;736;4
3511;5387;1
3512;5894;1
3513;5349;1
3514;5960;1
3515;5350;1
3521;3931;1
3522;4503;1
3523;4257;1
3524;2227;2
3525;2968;1
3526;3106;1
3527;3115;1
3528;1041;3
3531;4116;1
3532;4326;1
3533;3163;1
3534;2280;2
3541;2029;2
3542;601;4
3543;1553;2
3544;2046;2
3545;685;4
3546;224;5
3551;4508;1
3552;4453;1
3553;3488;1
3554;4049;1
3555;2116;2
3561;3437;1
3562;3473;1
3563;3668;1
3564;2832;1
3565;1112;3
3566;1504;2
3571;3744;1
3572;4673;1
3573;1794;2
3581;4865;1
3582;4192;1
3583;2824;1
3584;1018;3
3585;732;4
3601;1426;3
3602;976;4
3603;2112;2
3604;1155;3
3605;2146;2
3606;1436;3
3607;1766;2
3608;1260;3
3611;532;4
3612;139;5
3615;98;5
3621;865;4
3625;64;5
3626;62;5
3628;294;5
3631;143;5
3632;548;4
3633;245;5
3634;108;5
3641;1296;3
3642;1173;3
3643;734;4
3645;623;4
3646;55;5
3648;643;4
3651;53;5
3652;82;5
3653;74;5
3701;2371;2
3702;2763;1
3703;1706;2
3704;1682;2
3705;2000;2
3706;1400;3
3707;1599;2
3708;1118;3
3709;411;5
3711;175;5
3712;569;4
3721;1796;2
3722;1166;3
3723;1121;3
3731;1701;2
3732;1659;2
3734;613;4
3735;395;5
3737;252;5
3738;614;4
3739;184;5
3741;1660;2
3742;1685;2
3743;1745;2
3744;177;5
3749;86;5
3751;1154;3
3752;1251;3
3754;68;5
3755;924;4
3761;1373;3
3762;1995;2
3763;1311;3
3764;1356;3
3765;2176;2
3766;1758;2
3768;786;4
3769;796;4
3771;1119;3
3772;1420;3
3773;805;4
3774;190;5
3775;83;5
3776;177;5
3781;736;4
3784;96;5
3785;141;5
3791;297;5
3792;88;5
3794;53;5
3811;3924;1
3812;2081;2
3813;2605;1
3814;3697;1
3815;2498;2
3816;2691;1
3817;2538;1
3818;1696;2
3819;678;4
3821;1391;3
3822;2068;2
3823;2185;2
3824;1697;2
3825;1762;2
3826;1426;3
3828;1685;2
3829;1102;3
3831;1530;2
3832;655;4
3833;1434;3
3834;1349;3
3835;229;5
3836;236;5
3841;1791;2
3842;2232;2
3843;1632;2
3844;1572;2
3845;1331;3
3846;679;4
3847;769;4
3848;1258;3
3849;228;5
3851;1269;3
3852;573;4
3853;773;4
3861;1291;3
3862;1256;3
3863;1066;3
3864;353;5
3871;969;4
3881;872;4
3882;936;4
3886;225;5
3888;156;5
3891;1219;3
3892;971;4
3893;989;4
3894;812;4
3895;616;4
3896;216;5
3897;84;5
3898;30;5
3899;105;5
3901;3211;1
3902;2054;2
3903;1473;3
3904;2122;2
3905;2359;2
3906;1369;3
3907;838;4
3911;1027;3
3912;1257;3
3921;487;5
3922;263;5
3925;911;4
3927;480;5
3931;948;4
3941;534;4
3945;357;5
3947;191;5
3951;484;5
3953;113;5
3956;694;4
3958;702;4
3959;194;5
3961;1313;3
3962;1418;3
3971;1024;3
3972;1323;3
3981;728;4
3984;732;4
3985;258;5
3989;53;5
3991;1615;2
3992;1528;2
3993;1524;2
3994;1498;3
3995;2147;2
3997;82;5
3998;132;5
3999;51;5
4001;2037;2
4002;1590;2
4003;1153;3
4004;228;5
4005;1549;2
4006;1290;3
4007;990;4
4011;113;5
4012;174;5
4013;157;5
4014;139;5
4016;33;5
4017;523;4
4021;412;5
4023;55;5
4024;163;5
4031;172;5
4032;81;5
4033;370;5
4041;508;4
4043;520;4
4051;449;5
4053;113;5
4054;94;5
4061;140;5
4062;212;5
4063;63;5
4064;122;5
4101;1655;2
4102;1568;2
4103;1573;2
4104;757;4
4105;1387;3
4106;615;4
4107;146;5
4111;119;5
4112;378;5
4115;61;5
4116;291;5
4117;102;5
4119;52;5
4121;108;5
4122;100;5
4124;196;5
4125;255;5
4126;88;5
4128;236;5
4131;1035;3
4132;1348;3
4133;965;4
4141;1609;2
4142;1381;3
4143;1242;3
4145;155;5
4147;546;4
4151;115;5
4152;131;5
4153;443;5
4155;124;5
4156;212;5
4157;102;5
4158;249;5
4161;306;5
4163;358;5
4171;244;5
4174;95;5
4175;348;5
4176;170;5
4181;263;5
4182;65;5
4184;140;5
4185;66;5
4191;923;4
4194;615;4
4196;303;5
4197;410;5
4201;1919;2
4202;876;4
4203;1678;2
4204;1784;2
4205;2022;2
4206;1630;2
4207;1424;3
4208;639;4
4209;166;5
4211;134;5
4212;141;5
4213;469;5
4214;214;5
4221;141;5
4223;221;5
4225;131;5
4231;387;5
4233;465;5
4235;317;5
4241;454;5
4243;85;5
4245;104;5
4247;119;5
4251;923;4
4254;615;4
4255;379;5
4261;565;4
4264;339;5
4265;199;5
4266;113;5
4267;41;5
4268;88;5
4269;33;5
4271;244;5
4273;376;5
4281;266;5
4283;279;5
4284;291;5
4285;525;4
4286;301;5
4287;58;5
4288;68;5
4301;1072;3
4302;739;4
4303;472;5
4305;98;5
4306;312;5
4307;286;5
4308;46;5
4311;496;5
4315;118;5
4316;107;5
4317;59;5
4318;254;5
4321;69;5
4322;269;5
4323;121;5
4325;274;5
4326;130;5
4327;45;5
4328;301;5
4331;2768;1
4332;1655;2
4333;1419;3
4334;1390;3
4335;1719;2
4336;1967;2
4337;1832;2
4338;391;5
4339;235;5
4341;553;4
4351;172;5
4352;70;5
4353;272;5
4354;228;5
4356;397;5
4357;479;5
4361;471;5
4363;154;5
4364;161;5
4365;159;5
4371;422;5
4373;111;5
4374;379;5
4381;2418;2
4382;2567;1
4383;2397;2
4384;1337;3
4385;1723;2
4386;1329;3
4387;983;4
4388;1565;2
4389;132;5
4401;797;4
4411;294;5
4413;497;5
4414;131;5
4415;64;5
4416;480;5
4417;290;5
4421;749;4
4423;116;5
4424;469;5
4431;484;5
4433;94;5
4434;115;5
4435;58;5
4436;87;5
4437;63;5
4438;77;5
4441;151;5
4443;71;5
4444;65;5
4451;574;4
4453;255;5
4454;160;5
4455;139;5
4456;183;5
4458;163;5
4461;1965;2
4462;1495;3
4463;1151;3
4464;713;4
4465;372;5
4471;214;5
4472;270;5
4474;78;5
4475;150;5
4481;1123;3
4482;87;5
4484;311;5
4485;63;5
4486;301;5
4491;183;5
4493;197;5
4494;71;5
4501;757;4
4503;153;5
4504;200;5
4505;96;5
4506;408;5
4507;239;5
4508;35;5
4511;646;4
4513;136;5
4515;314;5
4521;189;5
4522;10;5
4524;456;5
4525;176;5
4527;302;5
